Station,Site_Name,Agency_Name,Lat,Lon,SRadius,MERRALat,MERRALon,IDXi,IDXj,PS,QV10m,Q500,Q850,T10m,T500,T850,WIND,BCSMASS,DUSMASS25,OCSMASS,SO2SMASS,SO4SMASS,SSSMASS25,NISMASS25,TOTEXTTAU,UTC_DATE,UTC_TIME
384CI1010001,Abidjan,U.S. Department of State Ivory Coast - Abidjan,5.3599517,-4.0082563,13.6,5.25,-4.062,382,564,100425.09,19.28597,3.82924,0.012269078,299.573,268.707,291.573,1.326,2.50238,46.12057,18.8882,2.22441,1.77809,6.6604,0.00647,0.527,20250410,0130
AD1010001,Abu_Dhabi,U.S. Department of State UAE - Abu Dhabi,24.42431,54.433874,5.1,24.5,54.375,459,751,100645.484,14.42803,0.33361,0.00077904155,294.736,265.406,286.736,2.256,0.67863,14.6102,4.77587,16.51529,7.62762,4.34967,0.07103,0.16,20250410,0130
1,Abuja,U.S. Department of State Nigeria - Abuja,9.041648,7.477374,14.0,9.0,7.5,397,601,95177.97,15.80569,2.56732,0.010687222,298.671,268.459,290.671,2.031,2.8219,42.5996,11.05746,0.64451,1.0379,0.92656,0.00457,0.486,20250410,0130
288GH1010001,Accra,U.S. Department of State Ghana - Accra,5.580642,-0.170724,18.1,5.5,-0.312,383,576,100375.0,19.06506,3.07695,0.011228627,299.642,269.748,291.642,2.283,1.05884,24.44727,5.21232,3.1826,0.69432,3.57737,0.00563,0.533,20250410,0130
2,Adana,,36.9914194,35.3308285,1.9,37.0,35.312,509,690,98971.66,6.28739,0.26846,0.0048466856,283.583,248.916,275.583,1.26,0.38867,3.05776,1.38044,14.06962,3.58922,4.4513,0.19131,0.219,20250410,0130
231AA1010001,Addis_Ababa,U.S. Department of State Ethiopia - Addis Ababa,9.058498,38.761641,13.4,9.0,38.75,397,701,73896.7,4.94033,0.80647,--,283.969,267.506,275.969,1.628,0.84354,6.15553,3.99586,0.43863,1.67839,0.2278,0.01573,0.094,20250410,0130
4,Alexandria,,31.2000924,29.9187387,9.5,31.25,30.0,486,673,101781.97,7.4484,0.0802,0.0042985943,289.244,254.95,281.244,7.171,0.09606,1.60812,0.3726,0.47022,2.23953,2.86671,0.01696,0.119,20250410,0130
012ALG010001,Algiers,U.S. Department of State Algeria - Algiers,36.755798,3.039114,5.9,36.75,3.125,508,587,101484.94,9.96868,0.54457,0.0042653,290.255,259.144,282.255,6.634,0.15193,1.78129,1.02057,3.10288,1.85322,3.77007,0.02805,0.163,20250410,0130
398KZ1010001,Almaty,U.S. Department of State Kazakhstan - Almaty,43.252855,76.93118,3.7,43.25,76.875,534,823,94220.73,5.35519,0.0661,0.004545155,285.705,255.616,277.705,1.915,3.05548,14.15331,10.77403,176.95164,10.46694,0.01369,0.00554,0.198,20250410,0130
400JOR010001,Amman,U.S. Department of State Jordan - Amman,31.945021,35.880501,5.7,32.0,35.938,489,692,93639.59,6.71752,1.0019,0.0055308314,283.813,256.493,275.813,5.265,0.10219,1.54267,0.42604,4.90774,1.83497,2.26196,0.24252,0.162,20250410,0130
